,parameter,pvalue
const,9.923,0.0
starDeveloper_non-top_digital_firms_NicheDummy,1.044,0.0
PostDummy,0.178,0.0
starDeveloper_non-top_digital_firms_PostXNicheDummy,0.013,0.22
