,parameter,pvalue
const,0.077,0.145
genreId_TRAVEL_AND_LOCAL_NicheDummy,0.016,0.179
PostDummy,0.261,0.0
genreId_TRAVEL_AND_LOCAL_PostXNicheDummy,0.018,0.753
