,parameter,pvalue
const,0.727,0.0
genreId_BOOKS_AND_REFERENCE_NicheDummy,-0.224,0.104
PostDummy,0.014,0.341
genreId_BOOKS_AND_REFERENCE_PostXNicheDummy,-0.001,0.94
