,parameter,pvalue
const,9.639,0.0
genreId_MUSIC_AND_AUDIO_NicheDummy,1.794,0.0
PostDummy,0.192,0.001
genreId_MUSIC_AND_AUDIO_PostXNicheDummy,-0.043,0.498
