,parameter,pvalue
const,0.687,0.0
genreId_BOOKS_AND_REFERENCE_NicheDummy,-0.226,0.107
PostDummy,0.014,0.327
genreId_BOOKS_AND_REFERENCE_PostXNicheDummy,-0.003,0.832
