,parameter,pvalue
const,0.121,0.448
genreId_ART_AND_DESIGN_NicheDummy,0.019,0.896
PostDummy,0.021,0.414
genreId_ART_AND_DESIGN_PostXNicheDummy,-0.017,0.508
