,parameter,pvalue
const,6.288,0.0
genreId_FOOD_AND_DRINK_NicheDummy,-0.49,0.346
PostDummy,0.151,0.0
genreId_FOOD_AND_DRINK_PostXNicheDummy,-0.011,0.823
