,parameter,pvalue
const,0.128,0.029
genreId_AUTO_AND_VEHICLES_NicheDummy,-0.03,0.313
PostDummy,0.244,0.0
genreId_AUTO_AND_VEHICLES_PostXNicheDummy,0.129,0.086
