,parameter,pvalue
const,0.009,0.886
genreId_HOUSE_AND_HOME_NicheDummy,0.076,0.014
PostDummy,0.201,0.001
genreId_HOUSE_AND_HOME_PostXNicheDummy,0.052,0.495
