,parameter,pvalue
const,0.672,0.001
genreId_MUSIC_AND_AUDIO_NicheDummy,-0.245,0.065
PostDummy,-0.008,0.608
genreId_MUSIC_AND_AUDIO_PostXNicheDummy,0.009,0.635
