,parameter,pvalue
const,0.573,0.006
genreId_TRAVEL_AND_LOCAL_NicheDummy,0.149,0.237
PostDummy,0.006,0.515
genreId_TRAVEL_AND_LOCAL_PostXNicheDummy,0.005,0.667
