,parameter,pvalue
const,1.033,0.0
genreId_FOOD_AND_DRINK_NicheDummy,0.212,0.088
PostDummy,0.021,0.203
genreId_FOOD_AND_DRINK_PostXNicheDummy,0.079,0.132
