,parameter,pvalue
const,0.405,0.0
genreId_MAPS_AND_NAVIGATION_NicheDummy,-0.253,0.001
PostDummy,-0.001,0.389
genreId_MAPS_AND_NAVIGATION_PostXNicheDummy,-0.002,0.332
