,count,mean,std,min,25%,50%,75%,max
Imputedprice,237.0,2.9025738396624474,9.342900896447427,0.0,0.0,0.0,2.49,114.99
DeMeanedImputedscore,237.0,0.017048122367112825,0.43458484034480416,-4.10033699375,-0.06750000000000167,-0.013124999999998721,0.03793968750000154,2.8125
ZScoreDeMeanedImputedreviews,237.0,-0.06428166484374917,0.03077659932465035,-0.45125874580392694,-0.06686591024672484,-0.06672852593734876,-0.06510480268667948,0.12268461515329482
DeMeanedminInstallsTop,237.0,0.005537974683544304,0.04901358157624842,0.0,0.0,0.0,0.0,0.4375
DeMeanedminInstallsMiddle,237.0,0.012394514767932489,0.11984050776049478,-0.4375,0.0,0.0,0.0,0.875
size,237.0,47.64556962025316,87.43511463103827,0.0,17.0,31.0,53.0,939.0
DaysSinceReleased,237.0,2247.3544303797466,896.2582345503757,675.0,1580.0,2202.0,2895.0,4027.0
