,count,mean,std,min,25%,50%,75%,max
Imputedprice,9318.0,2.0545556986477784,11.299071419913295,0.0,0.0,0.0,1.99,399.99
Imputedscore,9318.0,3.981894118211765,0.9133109889877937,0.0,3.85,4.22373415,4.49,5.0
Imputedreviews,9318.0,79634.39039565441,624401.6093032667,0.0,199.0,2549.0,21324.75,36762306.0
size,9318.0,47.669242326679544,74.57338046687185,0.0,16.0,35.0,62.0,1016.0
DaysSinceReleased,9318.0,1946.2424339987122,927.6285111220529,246.0,1146.0,1768.0,2644.0,4133.0
