,count,mean,std,min,25%,50%,75%,max
Imputedprice,275.0,2.008981818181818,3.7520252997592083,0.0,0.0,0.0,3.99,29.99
DeMeanedImputedscore,275.0,-0.006965223239778036,0.18006363196601471,-1.4140166812499997,-0.06400013750000033,-0.007500000000000284,0.049159900000000256,0.9488458250000003
ZScoreDeMeanedImputedreviews,275.0,-0.009050857315529551,0.44702625344023506,-0.6575855877941694,-0.0667972180920368,-0.06578973315661232,-0.05391071920333299,6.635926387439934
DeMeanedminInstallsTop,275.0,0.019545454545454546,0.10779823139906836,0.0,0.0,0.0,0.0,0.9375
DeMeanedminInstallsMiddle,275.0,-0.009772727272727273,0.12772332017395047,-0.9375,0.0,0.0,0.0,0.5
size,275.0,39.64363636363636,29.21085416976265,0.0,17.5,34.0,58.5,146.0
DaysSinceReleased,275.0,2004.861818181818,828.4030692058515,667.0,1260.5,2033.0,2594.5,3984.0
