,count,mean,std,min,25%,50%,75%,max
Imputedprice,207.0,1.7975845410628024,2.5175768441820807,0.0,0.0,0.0,3.49,9.99
DeMeanedImputedscore,207.0,-0.024409704898130123,0.33563515903366453,-3.934722281250001,-0.06525416562500075,-0.02052026249999983,0.036138721875000446,2.0583332187500005
ZScoreDeMeanedImputedreviews,207.0,0.021684870280828585,0.40226796330038034,-0.16394833335962616,-0.06675988539927155,-0.06564986000105191,-0.04888897425717202,4.614777707053721
DeMeanedminInstallsTop,207.0,0.009057971014492754,0.06512278560973855,0.0,0.0,0.0,0.0,0.5625
size,207.0,43.09661835748792,29.389753484304784,0.0,20.0,38.0,66.0,119.0
DaysSinceReleased,207.0,1827.7342995169083,915.5743234068493,669.0,1099.5,1535.0,2370.5,4129.0
