,parameter,pvalue
const,7.229,0.0
Non-leaders_category_SOCIAL_NicheDummy,0.69,0.006
PostDummy,0.187,0.0
Non-leaders_category_SOCIAL_PostXNicheDummy,-0.033,0.241
