,count,mean,std,min,25%,50%,75%,max
Imputedprice,447.0,1.0231767337807607,3.144283120702492,0.0,0.0,0.0,0.0,19.99
DeMeanedImputedscore,447.0,-0.026693410504337066,0.1648691269271867,-1.4957820812499993,-0.05691626562499974,-0.01762296874999958,0.019074975000000105,0.9244200562500007
ZScoreDeMeanedImputedreviews,447.0,0.5541976759818279,3.976880126191739,-5.554361584885084,-0.06287106323622625,-0.04097593669865282,0.13623737816554884,77.72666327971501
DeMeanedminInstallsTop,447.0,0.024608501118568233,0.1309775379340443,0.0,0.0,0.0,0.0,0.9375
DeMeanedminInstallsMiddle,447.0,-0.023629753914988814,0.13278402145918025,-0.9375,0.0,0.0,0.0,0.4375
size,447.0,45.79418344519016,39.89445337434794,0.0,5.0,40.0,75.5,182.0
DaysSinceReleased,447.0,2192.1096196868007,848.0423005734812,670.0,1519.5,2188.0,2797.0,4113.0
