,count,mean,std,min,25%,50%,75%,max
Imputedprice,250.0,2.30048,6.634328922400697,0.0,0.0,0.0,1.49,59.99
DeMeanedImputedscore,250.0,0.00875533983873621,0.43371760942619864,-3.9375000000000013,-0.07072189375000026,-0.011596093750000147,0.04095932499999955,3.250000125
ZScoreDeMeanedImputedreviews,250.0,-0.011769473627412114,0.36072131020251363,-0.6866543156888919,-0.06686479026594187,-0.06611726531447265,-0.056004212171298154,4.484256639915617
DeMeanedminInstallsTop,250.0,0.019,0.10166905323421757,0.0,0.0,0.0,0.0,0.75
DeMeanedminInstallsMiddle,250.0,-0.00625,0.13791808471831923,-0.75,0.0,0.0,0.0,0.8125
size,250.0,51.468,104.42560896269131,0.0,16.0,30.5,52.0,940.0
DaysSinceReleased,250.0,2310.248,909.8568946659053,671.0,1512.0,2350.5,3005.0,4100.0
