,count,mean,std,min,25%,50%,75%,max
DeMeanedImputedscore,204.0,-0.018363750566227414,0.1850585856008619,-1.3621200500000006,-0.05345770937499972,-0.01467449374999985,0.02584109062499962,0.8806590875000007
ZScoreDeMeanedImputedreviews,204.0,0.07866203728942064,1.0782931878400734,-0.6139984245676654,-0.06665274057103533,-0.06299152339154875,-0.0066373258931897005,14.97155011729212
DeMeanedminInstallsTop,204.0,0.023590686274509803,0.12266415707152836,0.0,0.0,0.0,0.0,0.9375
DeMeanedminInstallsMiddle,204.0,-0.014093137254901961,0.14808581140297547,-0.9375,0.0,0.0,0.0,0.8125
