,count,mean,std,min,25%,50%,75%,max
DeMeanedImputedscore,205.0,0.029791812746941197,0.26539311944441074,-1.07497273125,-0.036954012499999855,-8.881784197001252e-16,0.02660248125000031,2.2
ZScoreDeMeanedImputedreviews,205.0,-0.0610315400531931,0.13403714036650913,-1.6380834662725106,-0.06685844370817179,-0.06648213016509821,-0.06204153080298273,0.6442148665450742
DeMeanedminInstallsTop,205.0,0.006707317073170732,0.07023777679664443,0.0,0.0,0.0,0.0,0.875
DeMeanedminInstallsMiddle,205.0,-0.0003048780487804878,0.09596995023775419,-0.875,0.0,0.0,0.0,0.6875
