,Samples,Independent Vars,Log Price,Log Minimum Installs,Offers IAP,Contains Ads
0,Art And Design,Constant,0.421,6.301***,0.482**,0.208
1,Art And Design,Niche,-0.02,-0.08,-0.122,0.094
2,Comics,Constant,-1.582**,14.428***,1.519**,1.725***
3,Comics,Niche,-0.083,1.599**,-0.093,0.045
4,Personalization,Constant,0.337,4.791**,0.108,0.308**
5,Personalization,Niche,0.129,-0.778,0.159**,-0.061
6,Photography,Constant,1.311***,5.051***,0.156,-0.371*
7,Photography,Niche,0.02,0.713,-0.053,0.069
8,Auto And Vehicles,Constant,0.858,5.364,0.1,0.051
9,Auto And Vehicles,Niche,0.429**,-0.166,0.138,-0.071
10,Game Role Playing,Constant,-1.872***,18.156***,1.45***,1.398***
11,Game Role Playing,Niche,-0.166,0.832**,0.04,0.23***
12,Game Action,Constant,-1.139,15.64***,-0.328,1.413*
13,Game Action,Niche,-0.43,1.876,-0.095,0.335
14,Game Racing,Constant,0.78**,4.751***,0.256,0.392**
15,Game Racing,Niche,-0.183*,0.875,0.054,0.185**
16,Travel And Local,Constant,0.592**,6.629***,0.219*,0.405***
17,Travel And Local,Niche,0.191,-0.131,0.032,0.138***
18,Game Adventure,Constant,-0.877,17.533***,0.584,0.739*
19,Game Adventure,Niche,0.047,0.11,-0.122,0.031
20,Social,Constant,1.035**,3.425**,0.023,-0.21
21,Social,Niche,0.223***,-0.684,-0.025,0.073
22,Game Simulation,Constant,0.496,9.175***,0.644,0.665
23,Game Simulation,Niche,0.123,0.032,0.071,-0.021
24,Lifestyle,Constant,0.325,6.725***,0.467**,0.017
25,Lifestyle,Niche,-0.003,1.054*,0.037,0.172***
26,Education,Constant,0.749,8.964***,-0.025,-0.001
27,Education,Niche,-0.139,1.818***,-0.043,0.165***
28,Beauty,Constant,0.464**,6.823,-0.006,0.575
29,Beauty,Niche,-0.029,1.691***,0.137,0.371***
30,Game Casual,Constant,0.304,8.096***,0.127,0.803***
31,Game Casual,Niche,-0.09,0.637,0.087,0.129*
32,Books And Reference,Constant,0.594*,7.423***,0.267*,0.352**
33,Books And Reference,Niche,-0.139,0.559,-0.04,0.155**
34,Business,Constant,0.367,5.618***,0.171,0.126
35,Business,Niche,0.266**,0.554,-0.023,0.066*
36,Finance,Constant,0.714**,5.253***,0.412***,0.169
37,Finance,Niche,0.064,-0.873**,-0.237***,-0.143**
38,Game Strategy,Constant,-0.277,11.431***,0.848,0.005
39,Game Strategy,Niche,0.312***,-0.909**,-0.005,-0.023
40,Sports,Constant,1.24,6.328,0.382*,0.205
41,Sports,Niche,-0.192,0.12,0.06,-0.001
42,Communication,Constant,1.591***,3.809***,0.185,-0.004
43,Communication,Niche,0.026,-0.125,-0.166**,-0.072
44,Dating,Constant,0.502,9.247***,0.498*,1.336***
45,Dating,Niche,-0.01,-0.908*,0.105,-0.028
46,Entertainment,Constant,0.324,10.631***,0.59**,0.304
47,Entertainment,Niche,0.319*,-2.051***,0.058,-0.284***
48,Game Board,Constant,0.562,6.785***,0.497,0.053
49,Game Board,Niche,0.116,0.055,0.07,0.028
50,Events,Constant,0.011,16.706***,-0.492,-0.618
51,Events,Niche,0.017,0.495,0.048,0.047
52,Shopping,Constant,1.239,3.672***,0.295,0.06
53,Shopping,Niche,0.104,-0.731,0.041,0.022
54,Food And Drink,Constant,2.363***,2.837***,0.051,0.09
55,Food And Drink,Niche,0.214*,-0.259,0.077,0.086
56,Health And Fitness,Constant,0.877***,5.681***,0.146,-0.095
57,Health And Fitness,Niche,0.055,-0.702,-0.242***,0.066
58,House And Home,Constant,1.294***,3.67***,0.478**,0.278
59,House And Home,Niche,-0.336**,1.502***,0.144,0.074
60,Tools,Constant,0.902**,6.843***,0.068,0.037
61,Tools,Niche,-0.442***,1.861***,0.162**,0.198***
62,Libraries And Demo,Constant,-0.612,19.149***,0.777,1.327**
63,Libraries And Demo,Niche,-0.207**,0.706,-0.15**,0.139
64,Maps And Navigation,Constant,1.299***,3.568***,0.154,0.214***
65,Maps And Navigation,Niche,0.186,-0.968*,-0.096,-0.21***
66,Medical,Constant,0.788,10.782***,0.145,0.331
67,Medical,Niche,-0.222,0.389,0.073,0.001
68,Music And Audio,Constant,1.196**,6.269***,0.314,-0.327
69,Music And Audio,Niche,-0.228,1.494***,0.031,0.278***
70,News And Magazines,Constant,-0.525,9.534***,0.539*,0.707**
71,News And Magazines,Niche,-0.017,-0.944**,0.326***,0.058
72,Parenting,Constant,0.18,5.908***,0.364,-0.167
73,Parenting,Niche,0.047,0.211,0.108,0.115
74,Game Puzzle,Constant,-0.602,10.765*,1.04***,1.179***
75,Game Puzzle,Niche,-0.117,0.68,0.065,0.116
76,Video Players,Constant,1.117***,4.677***,0.059,0.108
77,Video Players,Niche,0.02,0.251,-0.0,0.106
78,Productivity,Constant,1.605**,6.373***,0.272,-0.012
79,Productivity,Niche,0.064,-0.368,0.041,-0.115*
80,Weather,Constant,0.291,6.126***,0.307**,0.287**
81,Weather,Niche,0.287***,-0.522,-0.211***,-0.031
82,Game Arcade,Constant,0.521,9.483**,0.235,0.324
83,Game Arcade,Niche,-0.086,0.45,0.002,0.066
84,Game Casino,Constant,0.379,6.507***,0.367,0.265
85,Game Casino,Niche,0.356***,-1.596**,-0.335***,-0.155
86,Game Card,Constant,0.251,6.347***,0.257**,0.27**
87,Game Card,Niche,0.002,-0.233,0.094,-0.103
88,Game Educational,Constant,0.227,8.383***,0.564,-0.288
89,Game Educational,Niche,-0.435***,1.625***,0.302***,0.019
90,Game Music,Constant,0.157,8.131***,0.133,0.802***
91,Game Music,Niche,-0.038,0.193,-0.158*,0.056
92,Game Sports,Constant,0.915***,4.174***,0.076,0.33**
93,Game Sports,Niche,-0.204,1.201,0.184,0.088
94,Game Trivia,Constant,0.519,5.24,-0.23,0.539
95,Game Trivia,Niche,0.171,-0.158,0.057,0.041
96,Game Word,Constant,0.479,4.425**,0.24,0.214
97,Game Word,Niche,0.019,0.275,0.134**,0.039
