,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,full_full_NicheDummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_full,Broad,1138.0,0.7,0.95,0.01,0.05,0.09,1.27,5.99,1138.0,10.66,3.94,0.69,6.91,11.51,13.82,22.33,1138.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,1138.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
full_full,Niche,8092.0,0.55,0.79,0.01,0.04,0.08,1.11,5.94,8092.0,12.31,3.63,0.69,9.21,13.12,15.42,22.33,8092.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0,8092.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
minInstalls_Tier1,Broad,76.0,0.06,0.02,0.01,0.03,0.06,0.08,0.09,76.0,16.86,1.0,16.12,16.12,16.12,17.73,18.42,76.0,0.79,0.41,0.0,1.0,1.0,1.0,1.0,76.0,0.84,0.37,0.0,1.0,1.0,1.0,1.0
minInstalls_Tier1,Niche,1719.0,0.05,0.06,0.01,0.03,0.05,0.08,2.15,1719.0,16.8,1.15,16.12,16.12,16.12,17.73,22.33,1719.0,0.73,0.44,0.0,0.0,1.0,1.0,1.0,1719.0,0.76,0.43,0.0,1.0,1.0,1.0,1.0
minInstalls_Tier2,Broad,1101.0,0.35,0.62,0.01,0.04,0.06,0.09,3.26,1101.0,13.2,1.39,11.51,11.51,13.82,13.82,15.42,1101.0,0.53,0.5,0.0,0.0,1.0,1.0,1.0,1101.0,0.41,0.49,0.0,0.0,0.0,1.0,1.0
minInstalls_Tier2,Niche,3028.0,0.2,0.48,0.01,0.04,0.06,0.08,3.05,3028.0,13.41,1.33,11.51,11.51,13.82,13.82,15.42,3028.0,0.62,0.49,0.0,0.0,1.0,1.0,1.0,3028.0,0.56,0.5,0.0,0.0,1.0,1.0,1.0
minInstalls_Tier3,Broad,1130.0,1.27,0.92,0.01,0.71,1.25,1.79,5.99,1130.0,7.91,2.22,0.69,6.91,8.52,9.21,10.82,1130.0,0.19,0.39,0.0,0.0,0.0,0.0,1.0,1130.0,0.06,0.24,0.0,0.0,0.0,0.0,1.0
minInstalls_Tier3,Niche,2176.0,1.23,0.84,0.01,0.71,1.26,1.79,5.94,2176.0,8.06,2.12,0.69,6.91,8.52,9.21,10.82,2176.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0,2176.0,0.1,0.31,0.0,0.0,0.0,0.0,1.0
