,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,genreId_ART_AND_DESIGN_NicheDummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genreId_GAME_ADVENTURE,Broad,35.0,0.67,0.85,0.01,0.04,0.05,1.51,2.4,35.0,13.35,2.97,8.52,10.82,13.82,16.12,18.42,35.0,0.63,0.49,0.0,0.0,1.0,1.0,1.0,35.0,0.46,0.51,0.0,0.0,0.0,1.0,1.0
genreId_GAME_ADVENTURE,Niche,184.0,0.71,0.83,0.01,0.05,0.09,1.61,2.84,184.0,13.16,2.9,6.91,11.51,13.82,16.12,18.42,184.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0,184.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0
genreId_SOCIAL,Broad,29.0,0.2,0.33,0.02,0.04,0.06,0.09,1.13,29.0,13.63,4.4,3.93,11.51,15.42,16.12,20.72,29.0,0.55,0.51,0.0,0.0,1.0,1.0,1.0,29.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0
genreId_SOCIAL,Niche,109.0,0.43,0.65,0.01,0.04,0.07,0.73,2.84,109.0,12.57,4.49,0.69,9.21,13.82,16.12,20.72,109.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0,109.0,0.43,0.5,0.0,0.0,0.0,1.0,1.0
genreId_GAME_SIMULATION,Broad,93.0,0.45,0.6,0.01,0.04,0.08,0.71,2.57,93.0,13.44,3.1,4.62,10.82,13.82,16.12,18.42,93.0,0.62,0.49,0.0,0.0,1.0,1.0,1.0,93.0,0.59,0.49,0.0,0.0,1.0,1.0,1.0
genreId_GAME_SIMULATION,Niche,154.0,0.59,0.74,0.01,0.05,0.08,1.36,2.71,154.0,13.57,3.14,4.62,10.82,13.82,16.12,18.42,154.0,0.69,0.46,0.0,0.0,1.0,1.0,1.0,154.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0
genreId_LIFESTYLE,Broad,59.0,0.67,0.77,0.01,0.05,0.09,1.26,3.05,59.0,10.35,3.69,4.62,6.91,10.82,13.12,20.03,59.0,0.36,0.48,0.0,0.0,0.0,1.0,1.0,59.0,0.07,0.25,0.0,0.0,0.0,0.0,1.0
genreId_LIFESTYLE,Niche,151.0,0.66,0.97,0.01,0.05,0.07,1.12,5.94,151.0,11.57,3.66,2.4,8.52,11.51,13.82,20.03,151.0,0.4,0.49,0.0,0.0,0.0,1.0,1.0,151.0,0.25,0.44,0.0,0.0,0.0,0.5,1.0
genreId_EDUCATION,Broad,67.0,0.77,0.97,0.01,0.04,0.08,1.61,3.44,67.0,10.91,2.52,6.91,9.21,10.82,11.51,16.12,67.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0,67.0,0.18,0.39,0.0,0.0,0.0,0.0,1.0
genreId_EDUCATION,Niche,207.0,0.65,0.83,0.01,0.04,0.08,1.61,3.05,207.0,12.7,2.78,6.22,10.82,13.12,15.42,18.42,207.0,0.48,0.5,0.0,0.0,0.0,1.0,1.0,207.0,0.34,0.48,0.0,0.0,0.0,1.0,1.0
genreId_BEAUTY,Broad,52.0,0.08,0.13,0.01,0.04,0.06,0.07,0.71,52.0,11.89,3.03,0.69,10.82,12.32,13.82,17.73,52.0,0.15,0.36,0.0,0.0,0.0,0.0,1.0,52.0,0.54,0.5,0.0,0.0,1.0,1.0,1.0
genreId_BEAUTY,Niche,29.0,0.05,0.03,0.01,0.03,0.06,0.08,0.1,29.0,13.36,1.47,10.82,11.51,13.82,13.82,16.12,29.0,0.24,0.44,0.0,0.0,0.0,0.0,1.0,29.0,0.93,0.26,0.0,1.0,1.0,1.0,1.0
genreId_GAME_CASUAL,Broad,44.0,0.55,0.67,0.01,0.05,0.08,0.97,2.4,44.0,13.06,3.03,4.62,11.34,13.47,15.6,17.73,44.0,0.5,0.51,0.0,0.0,0.5,1.0,1.0,44.0,0.59,0.5,0.0,0.0,1.0,1.0,1.0
genreId_GAME_CASUAL,Niche,192.0,0.52,0.68,0.01,0.04,0.08,1.11,2.09,192.0,13.55,3.97,4.62,9.21,15.42,16.12,20.72,192.0,0.57,0.5,0.0,0.0,1.0,1.0,1.0,192.0,0.69,0.46,0.0,0.0,1.0,1.0,1.0
genreId_BOOKS_AND_REFERENCE,Broad,135.0,0.9,1.09,0.01,0.04,0.09,1.62,4.57,135.0,10.62,3.48,2.4,7.71,11.51,13.82,17.73,135.0,0.42,0.5,0.0,0.0,0.0,1.0,1.0,135.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
genreId_BOOKS_AND_REFERENCE,Niche,78.0,0.81,0.97,0.01,0.06,0.08,1.75,3.22,78.0,11.85,3.04,6.22,9.21,11.51,13.82,17.73,78.0,0.41,0.5,0.0,0.0,0.0,1.0,1.0,78.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0
genreId_BUSINESS,Broad,48.0,0.46,0.8,0.01,0.03,0.07,0.7,3.44,48.0,10.39,3.87,2.4,6.91,9.21,13.82,16.12,48.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0,48.0,0.06,0.24,0.0,0.0,0.0,0.0,1.0
genreId_BUSINESS,Niche,199.0,0.62,0.97,0.01,0.04,0.08,1.02,4.51,199.0,11.76,3.6,3.93,9.21,13.12,13.82,20.03,199.0,0.37,0.48,0.0,0.0,0.0,1.0,1.0,199.0,0.15,0.36,0.0,0.0,0.0,0.0,1.0
genreId_FINANCE,Broad,52.0,0.42,0.68,0.01,0.04,0.06,0.71,2.57,52.0,11.91,3.38,2.4,10.82,13.12,13.82,16.12,52.0,0.52,0.5,0.0,0.0,1.0,1.0,1.0,52.0,0.29,0.46,0.0,0.0,0.0,1.0,1.0
genreId_FINANCE,Niche,198.0,0.54,0.82,0.01,0.04,0.08,0.89,5.72,198.0,10.49,4.08,2.4,6.91,11.51,13.82,17.73,198.0,0.27,0.44,0.0,0.0,0.0,1.0,1.0,198.0,0.14,0.34,0.0,0.0,0.0,0.0,1.0
genreId_GAME_STRATEGY,Broad,168.0,0.54,0.69,0.01,0.04,0.08,1.11,2.4,168.0,13.25,3.01,6.22,11.51,13.82,15.42,20.03,168.0,0.72,0.45,0.0,0.0,1.0,1.0,1.0,168.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0
genreId_GAME_STRATEGY,Niche,60.0,0.91,0.73,0.01,0.08,1.1,1.4,2.64,60.0,11.92,2.82,6.91,9.21,11.51,13.82,16.12,60.0,0.68,0.47,0.0,0.0,1.0,1.0,1.0,60.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0
genreId_SPORTS,Broad,79.0,0.86,1.12,0.02,0.06,0.09,1.51,4.75,79.0,9.92,3.96,1.79,6.91,9.21,13.12,16.12,79.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0,79.0,0.37,0.49,0.0,0.0,0.0,1.0,1.0
genreId_SPORTS,Niche,157.0,0.61,0.85,0.01,0.04,0.07,1.12,3.93,157.0,10.34,3.17,2.4,6.91,10.82,13.12,18.42,157.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0,157.0,0.37,0.48,0.0,0.0,0.0,1.0,1.0
genreId_COMMUNICATION,Broad,106.0,0.65,0.93,0.01,0.05,0.08,1.27,5.23,106.0,12.08,4.9,0.69,8.52,13.47,16.12,22.33,106.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0,106.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0
genreId_COMMUNICATION,Niche,102.0,0.64,0.85,0.01,0.05,0.08,1.12,4.56,102.0,12.62,4.15,3.93,9.21,13.82,16.12,22.33,102.0,0.34,0.48,0.0,0.0,0.0,1.0,1.0,102.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0
genreId_DATING,Broad,85.0,0.08,0.23,0.01,0.02,0.05,0.07,2.08,85.0,13.22,2.25,3.93,11.51,13.82,13.82,16.12,85.0,0.8,0.4,0.0,1.0,1.0,1.0,1.0,85.0,0.54,0.5,0.0,0.0,1.0,1.0,1.0
genreId_DATING,Niche,13.0,0.06,0.02,0.04,0.05,0.07,0.08,0.09,13.0,11.58,1.42,9.21,11.51,11.51,11.51,13.82,13.0,0.92,0.28,0.0,1.0,1.0,1.0,1.0,13.0,0.54,0.52,0.0,0.0,1.0,1.0,1.0
