,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,genreId_ART_AND_DESIGN_cluster_size_bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genreId_AUTO_AND_VEHICLES,"(30, 100]",33.0,0.36,0.71,0.01,0.04,0.07,0.08,2.77,33.0,10.79,3.9,2.4,6.91,11.51,13.82,20.72,33.0,0.3,0.47,0.0,0.0,0.0,1.0,1.0,33.0,0.36,0.49,0.0,0.0,0.0,1.0,1.0
genreId_AUTO_AND_VEHICLES,"(100, 500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_AUTO_AND_VEHICLES,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_GAME_ROLE_PLAYING,"[0, 10]",50.0,0.74,0.99,0.02,0.04,0.07,1.62,2.78,50.0,13.51,2.84,6.91,11.51,13.82,16.12,17.73,50.0,0.66,0.48,0.0,0.0,1.0,1.0,1.0,50.0,0.5,0.51,0.0,0.0,0.5,1.0,1.0
genreId_GAME_ROLE_PLAYING,"(10, 30]",12.0,0.07,0.02,0.04,0.05,0.08,0.09,0.09,12.0,15.89,0.89,13.82,15.42,16.12,16.12,17.73,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
genreId_GAME_ROLE_PLAYING,"(30, 100]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_GAME_ROLE_PLAYING,"(100, 500]",196.0,0.8,0.97,0.01,0.04,0.08,1.67,3.44,196.0,12.84,2.93,6.91,10.82,13.47,15.42,18.42,196.0,0.65,0.48,0.0,0.0,1.0,1.0,1.0,196.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0
genreId_GAME_ROLE_PLAYING,"(500, 1500]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_GAME_ACTION,"[0, 10]",0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
genreId_GAME_ACTION,"(10, 30]",23.0,0.38,0.61,0.01,0.03,0.06,0.4,1.79,23.0,13.96,2.33,6.91,13.12,13.82,15.42,17.73,23.0,0.74,0.45,0.0,0.5,1.0,1.0,1.0,23.0,0.78,0.42,0.0,1.0,1.0,1.0,1.0
