,True,False,count
containsAdsTrue,57,48,105
offersIAPTrue,87,18,105
paidTrue,3,102,105
contentRatingAdult,103,2,105
top_digital_firms,0,105,105
NicheDummy,52,53,105
minInstallsTop,8,97,105
minInstallsMiddle,85,20,105
