,False,True,count
containsAdsTrue,154,74,228
offersIAPTrue,66,162,228
paidTrue,128,100,228
contentRatingAdult,141,87,228
top_digital_firms,210,18,228
NicheDummy,40,188,228
minInstallsTop,181,47,228
minInstallsMiddle,112,116,228
