,False,True,count
containsAdsTrue,73,56,129
offersIAPTrue,54,75,129
paidTrue,115,14,129
contentRatingAdult,124,5,129
top_digital_firms,128,1,129
NicheDummy,67,62,129
minInstallsTop,126,3,129
minInstallsMiddle,48,81,129
