,True,False,count
containsAdsTrue,1377,421,1798
offersIAPTrue,1330,468,1798
paidTrue,1,1797,1798
contentRatingAdult,397,1401,1798
top_digital_firms,268,1530,1798
NicheDummy,1752,46,1798
minInstallsTop,1798,0,1798
minInstallsMiddle,0,1798,1798
