,False,True,count
containsAdsTrue,126,78,204
offersIAPTrue,118,86,204
paidTrue,121,83,204
contentRatingAdult,189,15,204
top_digital_firms,191,13,204
NicheDummy,53,151,204
minInstallsTop,130,74,204
minInstallsMiddle,138,66,204
