,False,True,count
containsAdsTrue,115,56,171
offersIAPTrue,98,73,171
paidTrue,107,64,171
contentRatingAdult,165,6,171
top_digital_firms,170,1,171
NicheDummy,29,142,171
minInstallsTop,168,3,171
minInstallsMiddle,92,79,171
