,True,False,count
containsAdsTrue,18,5,23
offersIAPTrue,17,6,23
paidTrue,6,17,23
contentRatingAdult,12,11,23
top_digital_firms,3,20,23
NicheDummy,6,17,23
minInstallsTop,3,20,23
minInstallsMiddle,17,6,23
