,False,True,count
containsAdsTrue,148,73,221
offersIAPTrue,129,92,221
paidTrue,128,93,221
contentRatingAdult,131,90,221
top_digital_firms,208,13,221
NicheDummy,65,156,221
minInstallsTop,171,50,221
minInstallsMiddle,137,84,221
