,True,False,count
containsAdsTrue,119,111,230
offersIAPTrue,115,115,230
paidTrue,93,137,230
contentRatingAdult,78,152,230
top_digital_firms,11,219,230
NicheDummy,139,91,230
minInstallsTop,20,210,230
minInstallsMiddle,118,112,230
