,False,True,count
containsAdsTrue,151,63,214
offersIAPTrue,125,89,214
paidTrue,119,95,214
contentRatingAdult,171,43,214
top_digital_firms,213,1,214
NicheDummy,70,144,214
minInstallsTop,194,20,214
minInstallsMiddle,118,96,214
