,True,False,count
containsAdsTrue,49,33,82
offersIAPTrue,59,23,82
paidTrue,12,70,82
contentRatingAdult,51,31,82
top_digital_firms,0,82,82
NicheDummy,56,26,82
minInstallsTop,4,78,82
minInstallsMiddle,55,27,82
