,True,False,count
containsAdsTrue,129,35,164
offersIAPTrue,127,37,164
paidTrue,33,131,164
contentRatingAdult,11,153,164
top_digital_firms,13,151,164
NicheDummy,52,112,164
minInstallsTop,34,130,164
minInstallsMiddle,97,67,164
