,False,True,count
containsAdsTrue,144,99,243
offersIAPTrue,125,118,243
paidTrue,136,107,243
contentRatingAdult,241,2,243
top_digital_firms,242,1,243
NicheDummy,20,223,243
minInstallsTop,175,68,243
minInstallsMiddle,155,88,243
