,False,True,count
containsAdsTrue,192,83,275
offersIAPTrue,139,136,275
paidTrue,172,103,275
contentRatingAdult,272,3,275
top_digital_firms,273,2,275
NicheDummy,56,219,275
minInstallsTop,237,38,275
minInstallsMiddle,128,147,275
