,False,True,count
containsAdsTrue,156,115,271
offersIAPTrue,159,112,271
paidTrue,116,155,271
contentRatingAdult,254,17,271
top_digital_firms,268,3,271
NicheDummy,35,236,271
minInstallsTop,234,37,271
minInstallsMiddle,177,94,271
