,True,False,count
containsAdsTrue,74,43,117
offersIAPTrue,90,27,117
paidTrue,24,93,117
contentRatingAdult,114,3,117
top_digital_firms,5,112,117
NicheDummy,11,106,117
minInstallsTop,18,99,117
minInstallsMiddle,72,45,117
