,False,True,count
containsAdsTrue,148,111,259
offersIAPTrue,86,173,259
paidTrue,158,101,259
contentRatingAdult,108,151,259
top_digital_firms,221,38,259
NicheDummy,64,195,259
minInstallsTop,189,70,259
minInstallsMiddle,142,117,259
