,True,False,count
containsAdsTrue,168,103,271
offersIAPTrue,179,92,271
paidTrue,93,178,271
contentRatingAdult,26,245,271
top_digital_firms,33,238,271
NicheDummy,204,67,271
minInstallsTop,92,179,271
minInstallsMiddle,116,155,271
