,True,False,count
containsAdsTrue,149,79,228
offersIAPTrue,151,77,228
paidTrue,79,149,228
contentRatingAdult,60,168,228
top_digital_firms,11,217,228
NicheDummy,176,52,228
minInstallsTop,103,125,228
minInstallsMiddle,75,153,228
