,True,False,count
containsAdsTrue,75,42,117
offersIAPTrue,69,48,117
paidTrue,25,92,117
contentRatingAdult,14,103,117
top_digital_firms,2,115,117
NicheDummy,94,23,117
minInstallsTop,23,94,117
minInstallsMiddle,70,47,117
