,False,True,count
containsAdsTrue,5463,3855,9318
offersIAPTrue,4719,4599,9318
paidTrue,6078,3240,9318
contentRatingAdult,7726,1592,9318
top_digital_firms,8871,447,9318
NicheDummy,1349,7969,9318
minInstallsTop,7520,1798,9318
minInstallsMiddle,5140,4178,9318
