,False,True,count
containsAdsTrue,150,87,237
offersIAPTrue,120,117,237
paidTrue,146,91,237
contentRatingAdult,218,19,237
top_digital_firms,235,2,237
NicheDummy,47,190,237
minInstallsTop,227,10,237
minInstallsMiddle,136,101,237
