,True,False,count
containsAdsTrue,2167,2011,4178
offersIAPTrue,2504,1674,4178
paidTrue,524,3654,4178
contentRatingAdult,861,3317,4178
top_digital_firms,145,4033,4178
NicheDummy,3304,874,4178
minInstallsTop,0,4178,4178
minInstallsMiddle,4178,0,4178
