,False,True,count
containsAdsTrue,5187,3684,8871
offersIAPTrue,4502,4369,8871
paidTrue,5695,3176,8871
contentRatingAdult,7383,1488,8871
top_digital_firms,8871,0,8871
NicheDummy,2387,6484,8871
minInstallsTop,7341,1530,8871
minInstallsMiddle,4838,4033,8871
