,False,True,count
containsAdsTrue,107,81,188
offersIAPTrue,110,78,188
paidTrue,99,89,188
contentRatingAdult,172,16,188
top_digital_firms,182,6,188
NicheDummy,30,158,188
minInstallsTop,126,62,188
minInstallsMiddle,144,44,188
