,False,True,count
containsAdsTrue,3031,311,3342
offersIAPTrue,2577,765,3342
paidTrue,627,2715,3342
contentRatingAdult,3008,334,3342
top_digital_firms,3308,34,3342
NicheDummy,599,2743,3342
minInstallsTop,3342,0,3342
minInstallsMiddle,3342,0,3342
