,False,True,count
containsAdsTrue,180,42,222
offersIAPTrue,141,81,222
paidTrue,135,87,222
contentRatingAdult,216,6,222
top_digital_firms,216,6,222
NicheDummy,23,199,222
minInstallsTop,203,19,222
minInstallsMiddle,121,101,222
