,False,True,count
containsAdsTrue,208,42,250
offersIAPTrue,170,80,250
paidTrue,165,85,250
contentRatingAdult,249,1,250
top_digital_firms,243,7,250
NicheDummy,55,195,250
minInstallsTop,236,14,250
minInstallsMiddle,122,128,250
