,False,True,count
containsAdsTrue,52,40,92
offersIAPTrue,82,10,92
paidTrue,68,24,92
contentRatingAdult,88,4,92
top_digital_firms,88,4,92
NicheDummy,15,77,92
minInstallsTop,91,1,92
minInstallsMiddle,46,46,92
