,True,False,count
containsAdsTrue,118,102,220
offersIAPTrue,117,103,220
paidTrue,90,130,220
contentRatingAdult,89,131,220
top_digital_firms,21,199,220
NicheDummy,200,20,220
minInstallsTop,58,162,220
minInstallsMiddle,111,109,220
