,True,False,count
containsAdsTrue,160,77,237
offersIAPTrue,132,105,237
paidTrue,87,150,237
contentRatingAdult,22,215,237
top_digital_firms,30,207,237
NicheDummy,175,62,237
minInstallsTop,97,140,237
minInstallsMiddle,67,170,237
