,False,True,count
containsAdsTrue,95,43,138
offersIAPTrue,104,34,138
paidTrue,120,18,138
contentRatingAdult,126,12,138
top_digital_firms,132,6,138
NicheDummy,17,121,138
minInstallsTop,107,31,138
minInstallsMiddle,62,76,138
