,False,True,count
containsAdsTrue,59,23,82
offersIAPTrue,70,12,82
paidTrue,80,2,82
contentRatingAdult,73,9,82
top_digital_firms,82,0,82
NicheDummy,52,30,82
minInstallsTop,81,1,82
minInstallsMiddle,56,26,82
