,False,True,count
containsAdsTrue,111,94,205
offersIAPTrue,126,79,205
paidTrue,122,83,205
contentRatingAdult,194,11,205
top_digital_firms,204,1,205
NicheDummy,140,65,205
minInstallsTop,191,14,205
minInstallsMiddle,102,103,205
