,False,True,count
containsAdsTrue,84,59,143
offersIAPTrue,65,78,143
paidTrue,104,39,143
contentRatingAdult,40,103,143
top_digital_firms,132,11,143
NicheDummy,21,122,143
minInstallsTop,96,47,143
minInstallsMiddle,88,55,143
