,False,True,count
containsAdsTrue,169,44,213
offersIAPTrue,140,73,213
paidTrue,131,82,213
contentRatingAdult,195,18,213
top_digital_firms,206,7,213
NicheDummy,68,145,213
minInstallsTop,196,17,213
minInstallsMiddle,117,96,213
