,False,True,count
containsAdsTrue,181,41,222
offersIAPTrue,137,85,222
paidTrue,121,101,222
contentRatingAdult,220,2,222
top_digital_firms,185,37,222
NicheDummy,30,192,222
minInstallsTop,174,48,222
minInstallsMiddle,129,93,222
