,True,False,count
containsAdsTrue,123,40,163
offersIAPTrue,96,67,163
paidTrue,22,141,163
contentRatingAdult,32,131,163
top_digital_firms,1,162,163
NicheDummy,141,22,163
minInstallsTop,12,151,163
minInstallsMiddle,74,89,163
